Datetime,Power_kW,temp_C,HR,solarRad_W/m2,Holiday,Power-1,Hour,Week Day,Month
2017-12-28 19:00:00,144.9358547,14.624166666666667,79.90000000000002,1.4165833333333335,0.0,171.2526088,19,3,12
2017-12-29 06:00:00,133.1867992,14.437500000000002,80.88333333333334,1.4466666666666665,0.0,144.9358547,6,4,12
2017-12-29 07:00:00,163.6583676,14.453333333333333,81.35,2.314416666666667,0.0,133.1867992,7,4,12
2017-12-29 08:00:00,175.9162314,14.571666666666665,79.81666666666665,30.324166666666667,0.0,163.6583676,8,4,12
2017-12-29 09:00:00,213.2946998,14.858333333333333,80.4,65.21333333333332,0.0,175.9162314,9,4,12
2017-12-29 10:00:00,245.6487124,15.657499999999999,76.36666666666667,336.65000000000003,0.0,213.2946998,10,4,12
2017-12-29 11:00:00,251.429997,16.030833333333334,71.07,226.44999999999996,0.0,245.6487124,11,4,12
2017-12-29 12:00:00,234.4132791,16.130833333333335,71.16833333333334,241.3416666666667,0.0,251.429997,12,4,12
2017-12-29 13:00:00,227.2319868,16.06083333333333,69.7625,128.55000000000004,0.0,234.4132791,13,4,12
2017-12-29 14:00:00,234.6952062,15.736666666666665,73.16999999999999,113.9575,0.0,227.2319868,14,4,12
2017-12-29 15:00:00,231.2497096,16.0675,69.25583333333334,121.05749999999999,0.0,234.6952062,15,4,12
2017-12-29 16:00:00,204.1895219,16.065,69.94916666666667,87.80333333333334,0.0,231.2497096,16,4,12
2017-12-29 17:00:00,180.3406241,15.319166666666662,75.99166666666667,7.999666666666666,0.0,204.1895219,17,4,12
2017-12-29 18:00:00,157.2002068,14.895833333333334,79.95,1.4144166666666667,0.0,180.3406241,18,4,12
2017-12-29 19:00:00,137.4956583,14.518333333333336,84.125,1.569,0.0,157.2002068,19,4,12
2018-02-01 07:00:00,148.6953013,11.236666666666665,70.61083333333333,3.6461666666666672,0.0,137.4956583,7,3,2
2018-02-01 08:00:00,188.7431819,11.284166666666666,70.51583333333333,54.01583333333334,0.0,148.6953013,8,3,2
2018-02-01 09:00:00,254.2800351,11.707500000000001,64.90249999999999,179.49166666666665,0.0,188.7431819,9,3,2
